Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
7/5/1999,AQS,410030013,1,10.3,ug/m3 LC,43,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
7/8/1999,AQS,410030013,1,8.3,ug/m3 LC,35,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
7/11/1999,AQS,410030013,1,8.1,ug/m3 LC,34,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
7/14/1999,AQS,410030013,1,3.6,ug/m3 LC,15,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
7/17/1999,AQS,410030013,1,3.7,ug/m3 LC,15,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
7/20/1999,AQS,410030013,1,3.6,ug/m3 LC,15,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
7/23/1999,AQS,410030013,1,2.7,ug/m3 LC,11,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
7/26/1999,AQS,410030013,1,8.3,ug/m3 LC,35,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
8/1/1999,AQS,410030013,1,5,ug/m3 LC,21,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
8/4/1999,AQS,410030013,1,4.4,ug/m3 LC,18,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
8/7/1999,AQS,410030013,1,1.6,ug/m3 LC,7,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
8/10/1999,AQS,410030013,1,9,ug/m3 LC,38,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
8/19/1999,AQS,410030013,1,4.2,ug/m3 LC,18,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
8/22/1999,AQS,410030013,1,6.3,ug/m3 LC,26,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
8/25/1999,AQS,410030013,1,2.5,ug/m3 LC,10,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
